Year,France,Italy,Japan,United States of America
1990,0.1,0.11,0.02,0.17
1991,0.1,0.11,0.02,0.18
1992,0.1,0.11,0.02,0.18
1993,0.1,0.11,0.02,0.19
1994,0.1,0.12,0.02,0.2
1995,0.11,0.12,0.02,0.21
1996,0.11,0.12,0.02,0.22
1997,0.11,0.13,0.02,0.23
1998,0.11,0.13,0.02,0.24
1999,0.11,0.13,0.02,0.25
2000,0.12,0.14,0.03,0.26
2001,0.12,0.14,0.03,0.28
2002,0.12,0.15,0.03,0.29
2003,0.12,0.15,0.03,0.3
2004,0.13,0.16,0.03,0.31
2005,0.13,0.16,0.03,0.32
2006,0.13,0.16,0.04,0.33
2007,0.13,0.17,0.04,0.34
2008,0.13,0.17,0.04,0.34
2009,0.13,0.17,0.04,0.35
2010,0.13,0.17,0.04,0.36
2011,0.12,0.17,0.05,0.36
2012,0.12,0.17,0.05,0.37
2013,0.12,0.17,0.05,0.37
2014,0.12,0.17,0.05,0.38
2015,0.12,0.17,0.06,0.38
2016,0.11,0.18,0.06,0.39
2017,0.11,0.18,0.06,0.39
2018,0.11,0.18,0.06,0.4
2019,0.11,0.18,0.07,0.4
2020,0.11,0.18,0.07,0.41
2021,0.1,0.18,0.07,0.41
2022,0.1,0.18,0.08,0.42
